sucursal,razon social,Entidad federativa,Latitud,Longitud
COPPEL TIENDA HIDALGO 890,COPPEL,DURANGO,25.0469451,-105.4198526
COPPEL TIENDA JARDINES 129,COPPEL,DURANGO,24.04305379,-104.6284014
COPPEL TIENDA LAS ROSAS 96,COPPEL,DURANGO,25.55469394,-103.5065945
COPPEL TIENDA PATONI 23,COPPEL,DURANGO,24.0259058,-104.6667854
COPPEL TIENDA PLAZA EL SALTO 7768,COPPEL,DURANGO,23.77257,-105.360219
COPPEL TIENDA PLAZA HAMBURGO 236,COPPEL,DURANGO,25.59583676,-103.5036521
COPPEL TIENDA PLAZA MADERO 235,COPPEL,DURANGO,24.00782628,-104.6639112
COPPEL TIENDA VICENTE GUERRERO 7600,COPPEL,DURANGO,23.74177271,-103.9859935
COPPEL TIENDA VICTORIA 33,COPPEL,DURANGO,25.56500601,-103.496312
COPPEL TIENDA VILLA VIVERO 444,COPPEL,DURANGO,25.54528429,-103.5186244
