fecha,afore,monto_ahorro_voluntario_y_solidario,flujo_neto,pct_crecimiento,app_dummy
2020-02-01,azteca,320.4,-0.8900000000000432,-0.27700831024931594,1
2020-03-01,azteca,322.78,2.3799999999999955,0.7428214731585614,1
2020-04-01,azteca,337.7,14.920000000000016,4.62234339178389,1
2020-05-01,azteca,360.03,22.329999999999984,6.612377850162865,1
2020-06-01,azteca,375.76,15.730000000000018,4.369080354414923,1
2020-07-01,azteca,399.64,23.879999999999995,6.355120289546523,1
2020-08-01,azteca,407.09,7.449999999999989,1.864177759983976,1
2020-09-01,azteca,441.1,34.01000000000005,8.354417941978443,1
2020-10-01,azteca,438.6,-2.5,-0.5667649059170277,1
2020-11-01,azteca,579.53,140.92999999999995,32.13178294573642,1
2020-12-01,azteca,707.89,128.36,22.14898279640398,1
2021-01-01,azteca,772.33,64.44000000000005,9.103109240136199,1
2021-02-01,azteca,773.08,0.75,0.0971087488508715,1
2021-03-01,azteca,813.46,40.379999999999995,5.223262792983907,1
2021-04-01,azteca,815.9,2.439999999999941,0.2999532859636611,1
2021-05-01,azteca,868.8,52.89999999999998,6.483637700698619,1
2021-06-01,azteca,850.84,-17.959999999999923,-2.0672191528545047,1
2021-07-01,azteca,897.14,46.299999999999955,5.4416811621456285,1
2021-08-01,azteca,902.26,5.1200000000000045,0.5707024544664208,1
2021-09-01,azteca,945.55,43.289999999999964,4.797951809899592,1
2021-10-01,azteca,949.93,4.3799999999999955,0.463222463116697,1
2021-11-01,azteca,978.36,28.430000000000064,2.992852104891952,1
2021-12-01,azteca,983.64,5.279999999999973,0.5396786458972125,1
2022-01-01,azteca,976.2,-7.439999999999941,-0.7563742832743636,1
2022-02-01,azteca,959.15,-17.050000000000068,-1.7465683261626785,1
2022-03-01,azteca,994.25,35.10000000000002,3.6594901735911955,1
2022-04-01,azteca,944.88,-49.370000000000005,-4.965551923560474,1
2022-05-01,azteca,809.08,-135.79999999999995,-14.372195411057486,1
2022-06-01,azteca,792.19,-16.889999999999986,-2.087556236713306,1
2022-07-01,azteca,842.81,50.61999999999989,6.38988121536499,1
2022-08-01,azteca,820.52,-22.289999999999964,-2.6447241964380974,1
2022-09-01,azteca,822.14,1.6200000000000045,0.1974357724369824,1
2022-10-01,azteca,828.16,6.019999999999982,0.7322353857007302,1
2022-11-01,azteca,885.67,57.50999999999999,6.9443102782071,1
2022-12-01,azteca,894.16,8.490000000000009,0.9585963169126188,1
2023-01-01,azteca,959.91,65.75,7.3532701082580365,1
2023-02-01,azteca,937.83,-22.079999999999927,-2.30021564521673,1
2023-03-01,azteca,992.37,54.539999999999964,5.81555292537026,1
2023-04-01,azteca,997.16,4.789999999999964,0.48268287030039936,1
2023-05-01,azteca,1029.16,32.000000000000114,3.209113883428949,1
2023-06-01,azteca,1041.27,12.1099999999999,1.1766877842123602,1
2023-07-01,azteca,1018.88,-22.389999999999986,-2.150258818558104,1
2023-08-01,azteca,990.5,-28.379999999999995,-2.7854114321608003,1
2023-09-01,azteca,1288.58,298.0799999999999,30.09389197375063,1
2023-10-01,azteca,1292.53,3.9500000000000455,0.30653898089370024,1
2023-11-01,azteca,1367.44,74.91000000000008,5.795610159918918,1
2023-12-01,azteca,1380.34,12.899999999999864,0.9433686304334943,1
2024-01-01,azteca,1412.7,32.36000000000013,2.3443499427677317,1
2024-02-01,azteca,1392.54,-20.160000000000082,-1.4270545763431786,1
2024-03-01,azteca,1410.7,18.160000000000082,1.3040918034670446,1
2024-04-01,azteca,1351.18,-59.51999999999998,-4.219181966399654,1
2024-05-01,azteca,1389.07,37.88999999999987,2.804215574534852,1
2024-06-01,azteca,1388.19,-0.8799999999998818,-0.0633517389332372,1
2024-07-01,azteca,1412.9,24.710000000000036,1.7800157039022046,1
2024-08-01,azteca,1443.38,30.480000000000018,2.157265199235625,1
2024-09-01,azteca,1476.53,33.149999999999864,2.2966924856932858,1
2024-10-01,azteca,1449.92,-26.6099999999999,-1.8021983975943567,1
2024-11-01,azteca,1482.08,32.159999999999854,2.2180534098432902,1
2024-12-01,azteca,1470.17,-11.909999999999854,-0.8036003454604201,1
2025-01-01,azteca,1523.3,53.12999999999988,3.6138677839977706,1
2025-02-01,azteca,1544.44,21.1400000000001,1.3877765377798168,1
2025-03-01,azteca,1564.6,20.159999999999854,1.30532749734531,1
2025-04-01,azteca,1552.23,-12.36999999999989,-0.790617410200678,1
2025-05-01,azteca,1599.21,46.98000000000002,3.0266133240563597,1
2025-06-01,azteca,1602.04,2.8299999999999272,0.17696237517272895,1
2025-07-01,azteca,1626.09,24.049999999999955,1.5012109560310627,1
2025-08-01,azteca,1634.16,8.070000000000164,0.49628249358892873,1
2025-09-01,azteca,1698.3,64.13999999999987,3.924952269055648,1
2025-10-01,azteca,1706.47,8.170000000000073,0.48106930459872466,1
2025-11-01,azteca,1740.69,34.22000000000003,2.005309205552974,1
2025-12-01,azteca,1718.0,-22.690000000000055,-1.3035060809219345,1
2020-02-01,banamex,10692.6,-158.85000000000036,-1.4638596685235594,1
2020-03-01,banamex,10241.87,-450.72999999999956,-4.215345192001941,1
2020-04-01,banamex,10575.13,333.2599999999984,3.2538979698043313,1
2020-05-01,banamex,11359.02,783.8900000000012,7.412580270880853,1
2020-06-01,banamex,11645.55,286.52999999999884,2.5224887358240355,1
2020-07-01,banamex,12191.16,545.6100000000006,4.685137241263826,1
2020-08-01,banamex,12445.04,253.88000000000102,2.082492560182958,1
